RPS,Ion,,Expected downtime (days),,,,,,,,,Ion,RPS,Expected downtime (days),Availability,,,
s_parts=148,s_parts=10,21043.92105,21.04392105,,,,,,,,,10,148,21.04392105,99.86%,,,
s_parts=148,s_parts=9,21044.16583,21.04416583,,,,,,,,,9,148,21.04416583,99.86%,,,
s_parts=195,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,195,21.04440938,99.86%,,,
s_parts=196,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,196,21.04440938,99.86%,,,
s_parts=197,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,197,21.04440938,99.86%,,,
s_parts=198,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,198,21.04440938,99.86%,,,
s_parts=199,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,199,21.04440938,99.86%,,,
s_parts=200,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,200,21.04440938,99.86%,,,
s_parts=194,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,194,21.04440938,99.86%,,,
s_parts=193,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,193,21.04440938,99.86%,,,
s_parts=192,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,192,21.04440938,99.86%,,,
s_parts=191,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,191,21.04440938,99.86%,,,
s_parts=190,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,190,21.04440938,99.86%,,,
s_parts=189,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,189,21.04440938,99.86%,,,
s_parts=188,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,188,21.04440938,99.86%,,,
s_parts=187,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,187,21.04440938,99.86%,,,
s_parts=186,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,186,21.04440938,99.86%,,,
s_parts=185,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,185,21.04440938,99.86%,,,
s_parts=184,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,184,21.04440938,99.86%,,,
s_parts=183,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,183,21.04440938,99.86%,,,
s_parts=182,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,182,21.04440938,99.86%,,,
s_parts=181,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,181,21.04440938,99.86%,,,
s_parts=180,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,180,21.04440938,99.86%,,,
s_parts=179,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,179,21.04440938,99.86%,,,
s_parts=178,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,178,21.04440938,99.86%,,,
s_parts=177,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,177,21.04440938,99.86%,,,
s_parts=176,s_parts=8,21044.40938,21.04440938,,,,,,,,,8,176,21.04440938,99.86%,,,
s_parts=175,s_parts=8,21044.40939,21.04440939,,,,,,,,,8,175,21.04440939,99.86%,,,
s_parts=174,s_parts=8,21044.40939,21.04440939,,,,,,,,,8,174,21.04440939,99.86%,,,
s_parts=173,s_parts=8,21044.40939,21.04440939,,,,,,,,,8,173,21.04440939,99.86%,,,
s_parts=172,s_parts=8,21044.4094,21.0444094,,,,,,,,,8,172,21.0444094,99.86%,,,
s_parts=171,s_parts=8,21044.40942,21.04440942,,,,,,,,,8,171,21.04440942,99.86%,,,
s_parts=170,s_parts=8,21044.40944,21.04440944,,,,,,,,,8,170,21.04440944,99.86%,,,
s_parts=169,s_parts=8,21044.40948,21.04440948,,,,,,,,,8,169,21.04440948,99.86%,,,
s_parts=168,s_parts=8,21044.40955,21.04440955,,,,,,,,,8,168,21.04440955,99.86%,,,
s_parts=167,s_parts=8,21044.40967,21.04440967,,,,,,,,,8,167,21.04440967,99.86%,,,
s_parts=166,s_parts=8,21044.40987,21.04440987,,,,,,,,,8,166,21.04440987,99.86%,,,
s_parts=165,s_parts=8,21044.4102,21.0444102,,,,,,,,,8,165,21.0444102,99.86%,,,
s_parts=164,s_parts=8,21044.41075,21.04441075,,,,,,,,,8,164,21.04441075,99.86%,,,
s_parts=163,s_parts=8,21044.41166,21.04441166,,,,,,,,,8,163,21.04441166,99.86%,,,
s_parts=162,s_parts=8,21044.41316,21.04441316,,,,,,,,,8,162,21.04441316,99.86%,,,
s_parts=161,s_parts=8,21044.41559,21.04441559,,,,,,,,,8,161,21.04441559,99.86%,,,
s_parts=160,s_parts=8,21044.41954,21.04441954,,,,,,,,,8,160,21.04441954,99.86%,,,
s_parts=159,s_parts=8,21044.4259,21.0444259,,,,,,,,,8,159,21.0444259,99.86%,,,
s_parts=158,s_parts=8,21044.43607,21.04443607,,,,,,,,,8,158,21.04443607,99.86%,,,
s_parts=157,s_parts=8,21044.45225,21.04445225,,,,,,,,,8,157,21.04445225,99.86%,,,
s_parts=156,s_parts=8,21044.47783,21.04447783,,,,,,,,,8,156,21.04447783,99.86%,,,
s_parts=155,s_parts=8,21044.51801,21.04451801,,,,,,,,,8,155,21.04451801,99.86%,,,
s_parts=154,s_parts=8,21044.58074,21.04458074,,,,,,,,,8,154,21.04458074,99.86%,,,
s_parts=153,s_parts=8,21044.67803,21.04467803,,,,,,,,,8,153,21.04467803,99.86%,,,
s_parts=152,s_parts=8,21044.82799,21.04482799,,,,,,,,,8,152,21.04482799,99.86%,,,
s_parts=151,s_parts=8,21045.05764,21.04505764,,,,,,,,,8,151,21.04505764,99.86%,,,
s_parts=147,s_parts=10,21045.10546,21.04510546,,,,,,,,,10,147,21.04510546,99.86%,,,
s_parts=147,s_parts=9,21045.35024,21.04535024,,,,,,,,,9,147,21.04535024,99.86%,,,
s_parts=150,s_parts=8,21045.40711,21.04540711,,,,,,,,,8,150,21.04540711,99.86%,,,
s_parts=149,s_parts=8,21045.93546,21.04593546,,,,,,,,,8,149,21.04593546,99.86%,,,
s_parts=148,s_parts=8,21046.7291,21.0467291,,,,,,,,,8,148,21.0467291,99.86%,,,
s_parts=146,s_parts=10,21046.8615,21.0468615,,,,,,,,,10,146,21.0468615,99.86%,,,
s_parts=146,s_parts=9,21047.10628,21.04710628,,,,,,,,,9,146,21.04710628,99.86%,,,
s_parts=147,s_parts=8,21047.91351,21.04791351,,,,,,,,,8,147,21.04791351,99.86%,,,
s_parts=145,s_parts=10,21049.44798,21.04944798,,,,,,,,,10,145,21.04944798,99.86%,,,
s_parts=146,s_parts=8,21049.66954,21.04966954,,,,,,,,,8,146,21.04966954,99.86%,,,
s_parts=145,s_parts=9,21049.69276,21.04969276,,,,,,,,,9,145,21.04969276,99.86%,,,
